vessel,arrival_estimate,country_of_origin
ARISTEA,2026-07-18 18:49,Malta
ONE HAMMERSMITH,2026-07-19 04:08,Panama
ARCHANGEL GABRIEL,2026-07-19 09:48,Liberia
BLUE HORIZON,2026-07-19 12:43,Liberia
ANDIAMO,2026-07-19 12:51,Marshall Islands
LEVERKUSEN EXPRESS,2026-07-19 13:43,Liberia
ZIM CHINA,2026-07-19 17:11,Liberia
CMA CGM SURABAYA,2026-07-20 06:24,Malta
STI MAVERICK,2026-07-20 13:49,Marshall Islands
CMA CGM AMBITION,2026-07-20 19:59,Malta
ZIM CANADA,2026-07-20 20:21,Marshall Islands
NORTHERN PEARL,2026-07-20 20:48,Panama
MAERSK FRANKFURT,2026-07-21 22:15,Panama
JOHNNY RANGER,2026-07-22 05:20,Liberia
MSC TOMOKO,2026-07-23 03:49,Panama
ALERCE,2026-07-23 04:18,Panama
NORDPACIFIC,2026-07-23 09:11,Cyprus
NILEDUTCH LION,2026-07-24 19:15,Liberia
HMM PERIDOT,2026-07-24 23:05,Liberia
SOLAR RUBA,2026-07-25 05:16,Liberia
CL EMILY BRONTE,2026-07-26 14:05,Liberia
ULSAN EXPRESS,2026-07-26 16:05,Liberia
LAGOM,2026-07-27 02:13,Liberia
VANCOUVER STAR,2026-07-28 06:03,Marshall Islands
MSC CHIARA X,2026-07-28 13:31,Liberia
MSC SUAPE VII,2026-07-28 17:35,Liberia
EMMA A,2026-07-29 11:15,Malta
GAITA,2026-08-01 10:01,Marshall Islands
MSC TASMAN VI,2026-08-07 00:35,Liberia
